file,label,frame
WashLiquid\Frame_7800_fg.png,16,7800
Background\Frame_14280_bg.png,0,14280
Sugar\Frame_3280_fg.png,14,3280
FryingPan\Frame_7880_fg.png,3,7880
Plate\Frame_7400_fg.png,10,7400
OilBottle\Frame_11440_fg.png,9,11440
Lid\Frame_7160_fg.png,6,7160
Rice\Frame_6160_fg.png,11,6160
Background\Frame_20080_bg.png,0,20080
OilBottle\Frame_11400_fg.png,9,11400
SaucePan\Frame_2000_fg.png,12,2000
Mug\Frame_12880_fg.png,8,12880
Background\Frame_0360_bg.png,0,360
Background\Frame_8800_bg.png,0,8800
SaucePan\Frame_5360_fg.png,12,5360
OilBottle\Frame_3960_fg.png,9,3960
Plate\Frame_1800_fg.png,10,1800
SaucePan\Frame_4400_fg.png,12,4400
WashLiquid\Frame_7920_fg.png,16,7920
Plate\Frame_14000_fg.png,10,14000
MilkBottle\Frame_9080_fg.png,7,9080
SaucePan\Frame_6360_fg.png,12,6360
Rice\Frame_4520_fg.png,11,4520
Background\Frame_16880_bg.png,0,16880
Sponge\Frame_4400_fg.png,13,4400
OilBottle\Frame_11800_fg.png,9,11800
Glass\Frame_7040_fg.png,4,7040
Background\Frame_1760_bg.png,0,1760
Jam\Frame_2320_fg.png,5,2320
Rice\Frame_10600_fg.png,11,10600
CanOfCocaCola\Frame_17640_fg.png,2,17640
Sponge\Frame_11800_fg.png,13,11800
Sponge\Frame_12960_fg.png,13,12960
VinegarBottle\Frame_6560_fg.png,15,6560
Lid\Frame_4320_fg.png,6,4320
CanOfCocaCola\Frame_3600_fg.png,2,3600
Lid\Frame_7600_fg.png,6,7600
Glass\Frame_4240_fg.png,4,4240
Bowl\Frame_0840_fg.png,1,840
Sugar\Frame_6560_fg.png,14,6560
WashLiquid\Frame_1200_fg.png,16,1200
Glass\Frame_1680_fg.png,4,1680
FryingPan\Frame_17920_fg.png,3,17920
Sugar\Frame_10800_fg.png,14,10800
OilBottle\Frame_6040_fg.png,9,6040
VinegarBottle\Frame_24680_fg.png,15,24680
Glass\Frame_9800_fg.png,4,9800
Plate\Frame_13040_fg.png,10,13040
SaucePan\Frame_10320_fg.png,12,10320
Jam\Frame_8440_fg.png,5,8440
WashLiquid\Frame_5920_fg.png,16,5920
Background\Frame_12000_bg.png,0,12000
Background\Frame_9960_bg.png,0,9960
VinegarBottle\Frame_5640_fg.png,15,5640
Glass\Frame_4920_fg.png,4,4920
Mug\Frame_12040_fg.png,8,12040
SaucePan\Frame_12840_fg.png,12,12840
FryingPan\Frame_17840_fg.png,3,17840
Bowl\Frame_3280_fg.png,1,3280
Glass\Frame_1920_fg.png,4,1920
Bowl\Frame_9480_fg.png,1,9480
Background\Frame_11560_bg.png,0,11560
VinegarBottle\Frame_6720_fg.png,15,6720
Glass\Frame_13240_fg.png,4,13240
Background\Frame_11720_bg.png,0,11720
Lid\Frame_1160_fg.png,6,1160
Glass\Frame_13160_fg.png,4,13160
Glass\Frame_11720_fg.png,4,11720
Jam\Frame_10640_fg.png,5,10640
Mug\Frame_3480_fg.png,8,3480
Bowl\Frame_10800_fg.png,1,10800
FryingPan\Frame_9760_fg.png,3,9760
Sponge\Frame_6400_fg.png,13,6400
Rice\Frame_9440_fg.png,11,9440
CanOfCocaCola\Frame_18320_fg.png,2,18320
Sugar\Frame_4840_fg.png,14,4840
Background\Frame_8040_bg.png,0,8040
SaucePan\Frame_12320_fg.png,12,12320
