directories,labels
VinegarBottle/VinegarBottlePlace1Subject2/patches,0
VinegarBottle/VinegarBottlePlace4Subject1/patches,0
VinegarBottle/VinegarBottlePlace7Subject1/patches,0
VinegarBottle/VinegarBottlePlace2Subject1/patches,0
MilkBottle/MilkBottlePlace2Subject4/patches,1
MilkBottle/MilkBottlePlace2Subject2/patches,1
MilkBottle/MilkBottlePlace7Subject1/patches,1
MilkBottle/MilkBottlePlace2Subject5/patches,1
MilkBottle/MilkBottlePlace4Subject1/patches,1
MilkBottle/MilkBottlePlace4Subject4/patches,1
Glass/GlassPlace2Subject4/patches,2
Glass/GlassPlace3Subject4/patches,2
Glass/GlassPlace1Subject2/patches,2
Glass/GlassPlace1Subject1/patches,2
Glass/GlassPlace3Subject1/patches,2
Glass/GlassPlace2Subject2/patches,2
Glass/GlassPlace4Subject1/patches,2
Rice/RicePlace2Subject5/patches,3
Rice/RicePlace4Subject2/patches,3
Rice/RicePlace1Subject3/patches,3
Rice/RicePlace2Subject3/patches,3
Rice/RicePlace2Subject4/patches,3
CanOfCocaCola/CanOfCocaColaPlace2Subject4/patches,4
CanOfCocaCola/CanOfCocaColaPlace5Subject1/patches,4
CanOfCocaCola/CanOfCocaColaPlace3Subject4/patches,4
Lid/LidPlace7Subject1/patches,5
Lid/LidPlace5Subject3/patches,5
Lid/LidPlace4Subject4/patches,5
Lid/LidPlace4Subject1/patches,5
Lid/LidPlace3Subject1/patches,5
Lid/LidPlace4Subject3/patches,5
Lid/LidPlace5Subject2/patches,5
Lid/LidPlace4Subject2/patches,5
Mug/MugPlace2Subject1/patches,6
Mug/MugPlace3Subject4/patches,6
Mug/MugPlace1Subject1/patches,6
Sugar/SugarPlace5Subject3/patches,7
Sugar/SugarPlace7Subject3/patches,7
Sugar/SugarPlace1Subject4/patches,7
SaucePan/SaucePanPlace2Subject5/patches,8
SaucePan/SaucePanPlace1Subject2/patches,8
SaucePan/SaucePanPlace2Subject2/patches,8
SaucePan/SaucePanPlace2Subject4/patches,8
SaucePan/SaucePanPlace6Subject4/patches,8
SaucePan/SaucePanPlace1Subject4/patches,8
SaucePan/SaucePanPlace6Subject3/patches,8
Plate/PlatePlace3Subject2/patches,9
Plate/PlatePlace6Subject1/patches,9
Plate/PlatePlace3Subject1/patches,9
Plate/PlatePlace6Subject4/patches,9
Plate/PlatePlace1Subject1/patches,9
OilBottle/OilBottlePlace2Subject4/patches,10
OilBottle/OilBottlePlace2Subject5/patches,10
OilBottle/OilBottlePlace3Subject1/patches,10
OilBottle/OilBottlePlace4Subject3/patches,10
OilBottle/OilBottlePlace5Subject2/patches,10
Sponge/SpongePlace6Subject3/patches,11
Sponge/SpongePlace6Subject1/patches,11
Sponge/SpongePlace3Subject2/patches,11
Sponge/SpongePlace3Subject3/patches,11
Jam/JamPlace1Subject4/patches,12
WashLiquid/WashLiquidPlace2Subject3/patches,13
WashLiquid/WashLiquidPlace5Subject2/patches,13
WashLiquid/WashLiquidPlace2Subject2/patches,13
WashLiquid/WashLiquidPlace2Subject4/patches,13
WashLiquid/WashLiquidPlace1Subject4/patches,13
FryingPan/FryingPanPlace7Subject1/patches,14
FryingPan/FryingPanPlace5Subject2/patches,14
FryingPan/FryingPanPlace3Subject1/patches,14
FryingPan/FryingPanPlace2Subject3/patches,14
FryingPan/FryingPanPlace6Subject1/patches,14
FryingPan/FryingPanPlace4Subject2/patches,14
FryingPan/FryingPanPlace4Subject4/patches,14
FryingPan/FryingPanPlace6Subject2/patches,14
FryingPan/FryingPanPlace3Subject2/patches,14
Bowl/BowlPlace4Subject1/patches,15
Bowl/BowlPlace6Subject3/patches,15
Bowl/BowlPlace5Subject3/patches,15
